Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-borderleaf1,Ethernet1,mlag_peer,dc1-borderleaf2,Ethernet1,True
l3leaf,dc1-borderleaf1,Ethernet2,mlag_peer,dc1-borderleaf2,Ethernet2,True
l3leaf,dc1-borderleaf1,Ethernet3,spine,dc1-spine1,Ethernet7,True
l3leaf,dc1-borderleaf1,Ethernet4,spine,dc1-spine2,Ethernet7,True
l3leaf,dc1-borderleaf1,Ethernet5,spine,dc1-spine3,Ethernet7,True
l3leaf,dc1-borderleaf1,Ethernet6,spine,dc1-spine4,Ethernet7,True
l3leaf,dc1-borderleaf2,Ethernet1,mlag_peer,dc1-borderleaf1,Ethernet1,True
l3leaf,dc1-borderleaf2,Ethernet2,mlag_peer,dc1-borderleaf1,Ethernet2,True
l3leaf,dc1-borderleaf2,Ethernet3,spine,dc1-spine1,Ethernet8,True
l3leaf,dc1-borderleaf2,Ethernet4,spine,dc1-spine2,Ethernet8,True
l3leaf,dc1-borderleaf2,Ethernet5,spine,dc1-spine3,Ethernet8,True
l3leaf,dc1-borderleaf2,Ethernet6,spine,dc1-spine4,Ethernet8,True
l3leaf,dc1-leaf1,Ethernet1,mlag_peer,dc1-leaf2,Ethernet1,True
l3leaf,dc1-leaf1,Ethernet2,mlag_peer,dc1-leaf2,Ethernet2,True
l3leaf,dc1-leaf1,Ethernet3,spine,dc1-spine1,Ethernet3,True
l3leaf,dc1-leaf1,Ethernet4,spine,dc1-spine2,Ethernet3,True
l3leaf,dc1-leaf1,Ethernet5,server,dc1-leaf1-server1,PCI1,True
l3leaf,dc1-leaf1,Ethernet6,spine,dc1-spine4,Ethernet3,True
l3leaf,dc1-leaf2,Ethernet1,mlag_peer,dc1-leaf1,Ethernet1,True
l3leaf,dc1-leaf2,Ethernet2,mlag_peer,dc1-leaf1,Ethernet2,True
l3leaf,dc1-leaf2,Ethernet3,spine,dc1-spine1,Ethernet4,True
l3leaf,dc1-leaf2,Ethernet4,spine,dc1-spine2,Ethernet4,True
l3leaf,dc1-leaf2,Ethernet5,server,dc1-leaf1-server1,PCI2,True
l3leaf,dc1-leaf2,Ethernet6,spine,dc1-spine4,Ethernet4,True
l3leaf,dc1-leaf3,Ethernet1,mlag_peer,dc1-leaf4,Ethernet1,True
l3leaf,dc1-leaf3,Ethernet2,mlag_peer,dc1-leaf4,Ethernet2,True
l3leaf,dc1-leaf3,Ethernet3,spine,dc1-spine1,Ethernet5,True
l3leaf,dc1-leaf3,Ethernet4,spine,dc1-spine2,Ethernet5,True
l3leaf,dc1-leaf3,Ethernet5,server,dc1-leaf2-server1,PCI1,True
l3leaf,dc1-leaf3,Ethernet6,spine,dc1-spine4,Ethernet5,True
l3leaf,dc1-leaf4,Ethernet1,mlag_peer,dc1-leaf3,Ethernet1,True
l3leaf,dc1-leaf4,Ethernet2,mlag_peer,dc1-leaf3,Ethernet2,True
l3leaf,dc1-leaf4,Ethernet3,spine,dc1-spine1,Ethernet6,True
l3leaf,dc1-leaf4,Ethernet4,spine,dc1-spine2,Ethernet6,True
l3leaf,dc1-leaf4,Ethernet5,server,dc1-leaf2-server1,PCI2,True
l3leaf,dc1-leaf4,Ethernet6,spine,dc1-spine4,Ethernet6,True
spine,dc1-spine1,Ethernet3,l3leaf,dc1-leaf1,Ethernet3,True
spine,dc1-spine1,Ethernet4,l3leaf,dc1-leaf2,Ethernet3,True
spine,dc1-spine1,Ethernet5,l3leaf,dc1-leaf3,Ethernet3,True
spine,dc1-spine1,Ethernet6,l3leaf,dc1-leaf4,Ethernet3,True
spine,dc1-spine1,Ethernet7,l3leaf,dc1-borderleaf1,Ethernet3,True
spine,dc1-spine1,Ethernet8,l3leaf,dc1-borderleaf2,Ethernet3,True
spine,dc1-spine2,Ethernet3,l3leaf,dc1-leaf1,Ethernet4,True
spine,dc1-spine2,Ethernet4,l3leaf,dc1-leaf2,Ethernet4,True
spine,dc1-spine2,Ethernet5,l3leaf,dc1-leaf3,Ethernet4,True
spine,dc1-spine2,Ethernet6,l3leaf,dc1-leaf4,Ethernet4,True
spine,dc1-spine2,Ethernet7,l3leaf,dc1-borderleaf1,Ethernet4,True
spine,dc1-spine2,Ethernet8,l3leaf,dc1-borderleaf2,Ethernet4,True
spine,dc1-spine3,Ethernet3,l3leaf,dc1-leaf1,Ethernet5,True
spine,dc1-spine3,Ethernet4,l3leaf,dc1-leaf2,Ethernet5,True
spine,dc1-spine3,Ethernet5,l3leaf,dc1-leaf3,Ethernet5,True
spine,dc1-spine3,Ethernet6,l3leaf,dc1-leaf4,Ethernet5,True
spine,dc1-spine3,Ethernet7,l3leaf,dc1-borderleaf1,Ethernet5,True
spine,dc1-spine3,Ethernet8,l3leaf,dc1-borderleaf2,Ethernet5,True
spine,dc1-spine4,Ethernet3,l3leaf,dc1-leaf1,Ethernet6,True
spine,dc1-spine4,Ethernet4,l3leaf,dc1-leaf2,Ethernet6,True
spine,dc1-spine4,Ethernet5,l3leaf,dc1-leaf3,Ethernet6,True
spine,dc1-spine4,Ethernet6,l3leaf,dc1-leaf4,Ethernet6,True
spine,dc1-spine4,Ethernet7,l3leaf,dc1-borderleaf1,Ethernet6,True
spine,dc1-spine4,Ethernet8,l3leaf,dc1-borderleaf2,Ethernet6,True
